Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"12.10.2020 12:55"
Zeitbezug:;MEZ
Messstellen-Name:;Lenggries
Messstellen-Nr.:;16003003
Gewässer:;Isar
Ostwert:;693016;Nordwert:;5284410;"ETRS89 / UTM Zone 32N"
2017-05-28;14,2;14,5;13,9;Rohdaten
2017-05-29;13,7;13,9;12,8;Rohdaten
2017-05-30;13,7;15;13,4;Rohdaten
2017-05-31;18,2;23;15,7;Rohdaten
2017-06-01;17,4;20,2;15;Rohdaten
2017-06-02;16,8;17,5;15,7;Rohdaten
2017-06-03;17;17,5;16,9;Rohdaten
2017-06-04;18,7;21,6;16,3;Rohdaten
2017-06-05;19,9;21,6;18,2;Rohdaten
2017-06-06;23,6;33,2;20,2;Rohdaten
2017-06-07;23,7;31,5;20,2;Rohdaten
2017-06-08;19,2;20,2;18,2;Rohdaten
2017-06-09;17,8;18,2;17,5;Rohdaten
2017-06-10;17,3;17,5;16,9;Rohdaten
2017-06-11;16,8;16,9;16,3;Rohdaten
2017-06-12;16,5;16,9;16,3;Rohdaten
2017-06-13;15,7;16,3;13,9;Rohdaten
2017-06-14;16,2;16,3;15,7;Rohdaten
2017-06-15;16;16,3;15,7;Rohdaten
2017-06-16;17,5;19,5;16,3;Rohdaten
2017-06-17;16,6;17,5;16,3;Rohdaten
2017-06-18;15,9;16,3;15,7;Rohdaten
2017-06-19;15;16,3;13,9;Rohdaten
2017-06-20;14,1;15;13,9;Rohdaten
2017-06-21;15,8;18,8;13,9;Rohdaten
2017-06-22;14,1;14,5;13,9;Rohdaten
2017-06-23;14,5;14,5;14,5;Rohdaten
2017-06-24;14,5;14,5;13,9;Rohdaten
2017-06-25;14,6;15;14,5;Rohdaten
2017-06-26;14,5;15;13,9;Rohdaten
2017-06-27;15,2;16,9;13,9;Rohdaten
2017-06-28;15,6;16,3;15;Rohdaten
2017-06-29;14,8;16,3;13,4;Rohdaten
2017-06-30;16,3;18,2;14,5;Rohdaten
2017-07-01;16,7;17,5;15,7;Rohdaten
2017-07-02;16,7;21,6;15,7;Rohdaten
2017-07-03;29,8;38,3;21,6;Rohdaten
2017-07-04;19;21,6;16,9;Rohdaten
2017-07-05;16,5;17,5;15,7;Rohdaten
2017-07-06;15,8;17,5;15;Rohdaten
2017-07-07;15,7;19,5;15;Rohdaten
2017-07-08;24,8;31,5;19,5;Rohdaten
2017-07-09;19,1;20,9;17,5;Rohdaten
2017-07-10;23,9;55,5;17,5;Rohdaten
2017-07-11;42,7;57,6;34,8;Rohdaten
2017-07-12;33,2;36,6;29,9;Rohdaten
2017-07-13;39,9;46,6;30,7;Rohdaten
2017-07-14;45,8;55,5;40,1;Rohdaten
2017-07-15;63,4;76;51,4;Rohdaten
2017-07-16;56,7;61,9;46,6;Rohdaten
2017-07-17;39,8;46,6;30,7;Rohdaten
2017-07-18;30;31,5;29,1;Rohdaten
2017-07-19;28,6;29,1;27,5;Rohdaten
2017-07-20;28,8;30,7;27,5;Rohdaten
2017-07-21;27;30,7;24,4;Rohdaten
2017-07-22;23,4;24,4;23;Rohdaten
2017-07-23;26,9;30,7;23;Rohdaten
2017-07-24;32,8;52,4;24,4;Rohdaten
2017-07-25;43,6;53,5;38,3;Rohdaten
2017-07-26;119;229;37,4;Rohdaten
2017-07-27;157;211;121;Rohdaten
2017-07-28;134;145;131;Rohdaten
2017-07-29;106;134;83,7;Rohdaten
2017-07-30;61,7;83,7;46,6;Rohdaten
2017-07-31;44,3;46,6;42,8;Rohdaten
2017-08-01;41,5;47,2;37,1;Rohdaten
2017-08-02;36;37,1;33,7;Rohdaten
2017-08-03;34,2;35,5;30,4;Rohdaten
2017-08-04;33,6;34,6;32,9;Rohdaten
2017-08-05;33,2;33,7;32,9;Rohdaten
2017-08-06;34,8;38;31,3;Rohdaten
2017-08-07;30,4;34,6;28;Rohdaten
2017-08-08;26,3;28;24,2;Rohdaten
2017-08-09;32,8;38,9;28;Rohdaten
2017-08-10;28,7;42,5;25,7;Rohdaten
2017-08-11;56,7;64,7;42,5;Rohdaten
2017-08-12;59,2;63,6;54,1;Rohdaten
2017-08-13;62,5;69,3;53,1;Rohdaten
2017-08-14;57,9;65,9;50,1;Rohdaten
2017-08-15;53,2;55,1;49,2;Rohdaten
2017-08-16;54,6;58,2;50,1;Rohdaten
2017-08-17;54;55,1;52,1;Rohdaten
2017-08-18;59,6;72,9;50,1;Rohdaten
2017-08-19;59,4;77,9;45,4;Rohdaten
2017-08-20;36,9;45,4;28;Rohdaten
2017-08-21;26,6;30,4;22,7;Rohdaten
2017-08-22;19,8;22;18,5;Rohdaten
2017-08-23;18,5;19,2;17,3;Rohdaten
2017-08-24;18;21,2;16,6;Rohdaten
2017-08-25;22,6;24,9;20,5;Rohdaten
2017-08-26;23,2;24,2;22;Rohdaten
2017-08-27;23,4;24,2;21,2;Rohdaten
2017-08-28;21,7;23,4;19,9;Rohdaten
2017-08-29;22;26,4;19,9;Rohdaten
2017-08-30;26;27,2;24,9;Rohdaten
2017-08-31;29,3;32,9;25,7;Rohdaten
2017-09-01;54,9;76,6;32,9;Rohdaten
2017-09-02;94,4;118;72,9;Rohdaten
2017-09-03;127;141;106;Rohdaten
2017-09-04;118;125;113;Rohdaten
2017-09-05;113;116;112;Rohdaten
2017-09-06;114;116;112;Rohdaten
2017-09-07;99,9;115;75,3;Rohdaten
2017-09-08;58;77,9;37,1;Rohdaten
2017-09-09;38,2;38,9;37,1;Rohdaten
2017-09-10;33,9;34,6;32,9;Rohdaten
2017-09-11;31,4;33,7;28;Rohdaten
2017-09-12;28,2;30,4;27,2;Rohdaten
2017-09-13;27,5;28,8;26,4;Rohdaten
2017-09-14;24,8;27,2;22,7;Rohdaten
2017-09-15;22,4;24,2;21,2;Rohdaten
2017-09-16;23,1;24,9;21,2;Rohdaten
2017-09-17;22,6;24,2;21,2;Rohdaten
2017-09-18;21,6;22;21,2;Rohdaten
2017-09-19;22,4;24,2;21,2;Rohdaten
2017-09-20;28,6;38;22;Rohdaten
2017-09-21;24,8;32,1;21,2;Rohdaten
2017-09-22;19,5;21,2;18,5;Rohdaten
2017-09-23;17,8;18,5;17,3;Rohdaten
2017-09-24;17;17,3;16,6;Rohdaten
2017-09-25;16,3;17,3;16;Rohdaten
2017-09-26;15,9;16;15,5;Rohdaten
2017-09-27;15,6;16;14,9;Rohdaten
2017-09-28;15,3;15,5;14,9;Rohdaten
2017-09-29;16,6;18,5;14,9;Rohdaten
2017-09-30;18,7;22;17,9;Rohdaten
2017-10-01;33;42,5;22;Rohdaten
2017-10-02;25,3;28,8;23,4;Rohdaten
2017-10-03;35,2;57,2;23,4;Rohdaten
2017-10-04;32,4;37,1;28;Rohdaten
2017-10-05;35;37,1;33,7;Rohdaten
2017-10-06;45,2;51,1;38;Rohdaten
2017-10-07;49,5;54,1;45,4;Rohdaten
2017-10-08;44,8;46,3;43,5;Rohdaten
2017-10-09;41,3;45,4;37,1;Rohdaten
2017-10-10;33,3;37,1;28,8;Rohdaten
2017-10-11;26,6;28,8;24,2;Rohdaten
2017-10-12;23,9;24,9;22,7;Rohdaten
2017-10-13;21,5;23,4;19,2;Rohdaten
2017-10-14;18,9;19,9;18,5;Rohdaten
2017-10-15;18,3;18,5;17,9;Rohdaten
2017-10-16;17,8;18,5;17,3;Rohdaten
2017-10-17;17,5;17,9;17,3;Rohdaten
2017-10-18;16,2;17,3;14,9;Rohdaten
2017-10-19;14,5;14,9;14,3;Rohdaten
2017-10-20;14,1;14,3;13,7;Rohdaten
2017-10-21;13,8;14,3;13,7;Rohdaten
2017-10-22;13,8;14,3;13,7;Rohdaten
2017-10-23;14,2;15,5;13,7;Rohdaten
2017-10-24;14,8;15,5;14,3;Rohdaten
2017-10-25;15,1;18,5;13,7;Rohdaten
2017-10-26;18,6;19,2;17,9;Rohdaten
2017-10-27;30,6;53,1;18,5;Rohdaten
2017-10-28;32,5;35,5;28,8;Rohdaten
2017-10-29;39,1;59,2;32,1;Rohdaten
2017-10-30;41;54,1;36,3;Rohdaten
2017-10-31;34,5;36,3;33,7;Rohdaten
2017-11-01;32,7;33,7;32,1;Rohdaten
2017-11-02;29,9;32,1;27,2;Rohdaten
2017-11-03;26,3;28;24,9;Rohdaten
2017-11-04;23;24,9;21,2;Rohdaten
2017-11-05;22,9;32,1;21,2;Rohdaten
2017-11-06;30,7;34,6;28;Rohdaten
2017-11-07;27,3;28,8;26,4;Rohdaten
2017-11-08;26,2;27,2;25,7;Rohdaten
2017-11-09;24,9;25,7;24,2;Rohdaten
2017-11-10;23,7;24,2;22,7;Rohdaten
2017-11-11;29,5;38,9;24,2;Rohdaten
2017-11-12;56,8;64,7;39,9;Rohdaten
2017-11-13;47,1;55,1;41,6;Rohdaten
2017-11-14;39,3;41,6;38;Rohdaten
2017-11-15;36,7;38;36,3;Rohdaten
2017-11-16;33,3;36,3;30,4;Rohdaten
2017-11-17;28;30,4;24,9;Rohdaten
2017-11-18;24;24,9;23,4;Rohdaten
2017-11-19;23,6;24,2;23,4;Rohdaten
2017-11-20;23;23,4;22,7;Rohdaten
2017-11-21;24,2;28,8;22,7;Rohdaten
2017-11-22;27,2;28,8;25,7;Rohdaten
2017-11-23;25,3;26,4;24,2;Rohdaten
2017-11-24;24,2;24,9;23,4;Rohdaten
2017-11-25;23,9;24,9;23,4;Rohdaten
2017-11-26;23,7;24,2;22,7;Rohdaten
2017-11-27;22,5;22,7;22;Rohdaten
2017-11-28;20,9;22,7;19,2;Rohdaten
2017-11-29;18,4;19,9;17,3;Rohdaten
2017-11-30;16,5;17,3;16;Rohdaten
2017-12-01;15,3;16;14,3;Rohdaten
2017-12-02;14,4;14,9;13,7;Rohdaten
2017-12-03;13,9;14,3;13,7;Rohdaten
2017-12-04;13,9;14,3;13,7;Rohdaten
2017-12-05;13,8;14,3;13,7;Rohdaten
2017-12-06;14,1;14,3;13,7;Rohdaten
2017-12-07;14,3;14,3;13,7;Rohdaten
2017-12-08;14,1;14,3;13,7;Rohdaten
2017-12-09;14,2;14,3;13,7;Rohdaten
2017-12-10;13,9;14,3;13,7;Rohdaten
2017-12-11;13,9;15,5;13,7;Rohdaten
2017-12-12;18;19,9;15,5;Rohdaten
2017-12-13;16,5;17,9;15,5;Rohdaten
2017-12-14;15,5;16;15,5;Rohdaten
2017-12-15;15,5;16;14,9;Rohdaten
2017-12-16;15;15,5;14,9;Rohdaten
2017-12-17;14,9;15,5;14,9;Rohdaten
2017-12-18;14,8;14,9;14,3;Rohdaten
2017-12-19;14,7;14,9;14,3;Rohdaten
2017-12-20;14,9;14,9;14,3;Rohdaten
2017-12-21;15;15,5;14,3;Rohdaten
2017-12-22;21,3;43,5;15,5;Rohdaten
2017-12-23;39,2;49,2;29,6;Rohdaten
2017-12-24;25,2;29,6;22;Rohdaten
2017-12-25;21,1;22,7;19,9;Rohdaten
2017-12-26;19,6;20,5;19,2;Rohdaten
2017-12-27;20,7;23,4;18,5;Rohdaten
2017-12-28;23,4;23,4;23,4;Rohdaten
2017-12-29;23,6;24,2;22,7;Rohdaten
2017-12-30;24,2;25,7;23,4;Rohdaten
2017-12-31;36,8;41,6;25,7;Rohdaten
2018-01-01;35,4;38,9;32,1;Rohdaten
2018-01-02;29,4;32,1;27,2;Rohdaten
2018-01-03;32,1;44,4;26,4;Rohdaten
2018-01-04;46,4;89,7;33,7;Rohdaten
2018-01-05;65,3;87;58,2;Rohdaten
2018-01-06;52,8;58,2;49,2;Rohdaten
2018-01-07;47,8;49,2;46,3;Rohdaten
2018-01-08;46,9;47,2;46,3;Rohdaten
2018-01-09;47,7;49,2;47,2;Rohdaten
2018-01-10;43;48,2;38;Rohdaten
2018-01-11;37,1;38;36,3;Rohdaten
2018-01-12;33,6;36,3;30,4;Rohdaten
2018-01-13;30;30,4;29,6;Rohdaten
2018-01-14;29,1;29,6;28,8;Rohdaten
2018-01-15;26,2;28,8;23,4;Rohdaten
2018-01-16;23,7;25,7;22,7;Rohdaten
2018-01-17;26,3;28;24,2;Rohdaten
2018-01-18;23,5;27,2;22;Rohdaten
2018-01-19;31,8;36,3;24,2;Rohdaten
2018-01-20;31,9;33,7;30,4;Rohdaten
2018-01-21;30,6;32,1;29,6;Rohdaten
2018-01-22;29,9;40,8;25,7;Rohdaten
2018-01-23;45,8;57,2;36,3;Rohdaten
2018-01-24;31,8;36,3;28,8;Rohdaten
2018-01-25;27,7;28,8;26,4;Rohdaten
2018-01-26;26,5;27,2;25,7;Rohdaten
2018-01-27;24,9;25,7;24,2;Rohdaten
2018-01-28;23,8;24,2;23,4;Rohdaten
2018-01-29;24,4;26,4;23,4;Rohdaten
2018-01-30;26,8;27,2;26,4;Rohdaten
2018-01-31;25,9;27,2;24,9;Rohdaten
2018-02-01;24,6;24,9;23,4;Rohdaten
2018-02-02;22,9;23,4;22;Rohdaten
2018-02-03;21,6;22,7;21,2;Rohdaten
2018-02-04;20,7;21,2;20,5;Rohdaten
2018-02-05;20;20,5;19,2;Rohdaten
2018-02-06;19,5;19,9;18,5;Rohdaten
2018-02-07;18,5;19,9;16,6;Rohdaten
2018-02-08;16,2;17,3;15,5;Rohdaten
2018-02-09;15,6;16;15,5;Rohdaten
2018-02-10;15,5;15,5;14,9;Rohdaten
2018-02-11;15,4;15,5;14,9;Rohdaten
2018-02-12;15,1;15,5;14,9;Rohdaten
2018-02-13;14,8;14,9;14,3;Rohdaten
2018-02-14;14,4;14,9;14,3;Rohdaten
2018-02-15;14,6;15,5;13,7;Rohdaten
2018-02-16;26;34,6;15,5;Rohdaten
2018-02-17;20;23;18,2;Rohdaten
2018-02-18;17;18,2;16,3;Rohdaten
2018-02-19;15,7;16,3;15,1;Rohdaten
2018-02-20;15,2;15,7;14,5;Rohdaten
2018-02-21;14,5;15,1;14;Rohdaten
2018-02-22;14;14,5;14;Rohdaten
2018-02-23;13,7;14;13,4;Rohdaten
2018-02-24;13,4;13,4;12,9;Rohdaten
2018-02-25;13;13,4;12,3;Rohdaten
2018-02-26;12,6;12,9;12,3;Rohdaten
2018-02-27;12,7;12,9;12,3;Rohdaten
2018-02-28;12,9;13,4;12,3;Rohdaten
2018-03-01;12,9;12,9;12,3;Rohdaten
2018-03-02;13,1;14;12,9;Rohdaten
2018-03-03;13,5;14;13,4;Rohdaten
2018-03-04;13,7;14;13,4;Rohdaten
2018-03-05;14;14,5;13,4;Rohdaten
2018-03-06;14,3;14,5;14;Rohdaten
2018-03-07;14,6;15,1;14,5;Rohdaten
2018-03-08;14,8;15,1;14,5;Rohdaten
2018-03-09;16,3;18,8;15,1;Rohdaten
2018-03-10;20,2;23;18,8;Rohdaten
2018-03-11;23,7;26;23;Rohdaten
2018-03-12;29,7;37,5;26;Rohdaten
2018-03-13;35,3;37,5;34,1;Rohdaten
2018-03-14;35,7;36,6;34,1;Rohdaten
2018-03-15;31,9;36,6;26,8;Rohdaten
2018-03-16;29,2;32,4;26,8;Rohdaten
2018-03-17;30,5;32,4;29,1;Rohdaten
2018-03-18;29,1;29,9;27,5;Rohdaten
2018-03-19;26,2;28,3;23,7;Rohdaten
2018-03-20;23,4;24,5;23;Rohdaten
2018-03-21;22;23;20,9;Rohdaten
2018-03-22;19,3;20,9;16,3;Rohdaten
2018-03-23;15,7;16,3;15,1;Rohdaten
2018-03-24;15,1;15,1;14,5;Rohdaten
2018-03-25;14,9;15,1;14,5;Rohdaten
2018-03-26;14,8;15,1;14,5;Rohdaten
2018-03-27;15,5;18,8;14,5;Rohdaten
2018-03-28;21,2;24,5;18,8;Rohdaten
2018-03-29;27,5;29,9;24,5;Rohdaten
2018-03-30;25,3;26,8;24,5;Rohdaten
2018-03-31;25,4;26;24,5;Rohdaten
2018-04-01;24,8;25,2;24,5;Rohdaten
2018-04-02;23,5;24,5;23;Rohdaten
2018-04-03;25,4;29,9;23,7;Rohdaten
2018-04-04;32,4;40,1;28,3;Rohdaten
2018-04-05;36,9;39,2;34,9;Rohdaten
2018-04-06;35,7;37,5;34,1;Rohdaten
2018-04-07;34,9;37,5;33,2;Rohdaten
2018-04-08;36,1;38,4;34,1;Rohdaten
2018-04-09;34,2;36,2;32,8;Rohdaten
2018-04-10;33,5;34,4;31,9;Rohdaten
2018-04-11;31,9;34,4;30,3;Rohdaten
2018-04-12;29,4;31,1;27,9;Rohdaten
2018-04-13;25,3;29,5;22,6;Rohdaten
2018-04-14;21,6;22,6;20,5;Rohdaten
2018-04-15;21,1;21,9;20,5;Rohdaten
2018-04-16;24,2;31,1;21,2;Rohdaten
2018-04-17;27;31,9;22,6;Rohdaten
2018-04-18;21,9;29,5;19,8;Rohdaten
2018-04-19;22,2;25,6;19,8;Rohdaten
2018-04-20;27,3;30,3;24,8;Rohdaten
2018-04-21;29,7;30,3;29,5;Rohdaten
2018-04-22;29,5;30,3;29,5;Rohdaten
2018-04-23;29,2;29,5;28,7;Rohdaten
2018-04-24;31,8;43,3;28,7;Rohdaten
2018-04-25;30,7;34,4;28,7;Rohdaten
2018-04-26;34,6;45,2;31,9;Rohdaten
2018-04-27;30,2;32,8;28,7;Rohdaten
2018-04-28;28,1;28,7;27,9;Rohdaten
2018-04-29;26,7;28,7;25,6;Rohdaten
2018-04-30;24,4;26,4;21,2;Rohdaten
2018-05-01;20,9;21,2;20,5;Rohdaten
2018-05-02;20,5;20,5;19,8;Rohdaten
2018-05-03;19,2;20,5;17,8;Rohdaten
2018-05-04;17,7;18,5;17,2;Rohdaten
2018-05-05;17,2;17,2;17,2;Rohdaten
2018-05-06;17,1;17,2;16,6;Rohdaten
2018-05-07;16,6;16,6;16;Rohdaten
2018-05-08;16,3;16,6;16;Rohdaten
2018-05-09;16;16,6;15,3;Rohdaten
2018-05-10;15,8;16;15,3;Rohdaten
2018-05-11;15,7;16;15,3;Rohdaten
2018-05-12;16;16,6;15,3;Rohdaten
2018-05-13;16,1;16,6;16;Rohdaten
2018-05-14;16,1;16,6;16;Rohdaten
2018-05-15;19,9;25,6;16,6;Rohdaten
2018-05-16;28,5;31,9;25,6;Rohdaten
2018-05-17;29,2;31,1;27,9;Rohdaten
2018-05-18;45,3;62,4;31,1;Rohdaten
2018-05-19;39,3;40,6;38,8;Rohdaten
2018-05-20;40,9;43,3;37,9;Rohdaten
2018-05-21;42,8;43,3;42,4;Rohdaten
2018-05-22;37,5;43,3;28,7;Rohdaten
2018-05-23;25;28,7;21,2;Rohdaten
2018-05-24;21,6;22,6;20,5;Rohdaten
2018-05-25;19,4;21,2;17,2;Rohdaten
2018-05-26;17,3;17,8;16,6;Rohdaten
2018-05-27;16,8;17,2;16;Rohdaten
2018-05-28;16,6;16,6;16;Rohdaten
2018-05-29;16,3;17,8;15,3;Rohdaten
2018-05-30;17,1;17,8;16,6;Rohdaten
2018-05-31;16,6;17,2;16,6;Rohdaten
2018-06-01;17,2;17,8;16,6;Rohdaten
2018-06-02;16,7;17,8;16;Rohdaten
2018-06-03;17,1;17,8;16,6;Rohdaten
2018-06-04;16,6;17,2;16,6;Rohdaten
2018-06-05;16,6;16,6;16;Rohdaten
2018-06-06;16,9;18,5;16;Rohdaten
2018-06-07;17;18,5;16,6;Rohdaten
2018-06-08;17,3;18,5;16,6;Rohdaten
2018-06-09;16,9;17,2;16,6;Rohdaten
2018-06-10;16,6;17,2;16,6;Rohdaten
2018-06-11;16,5;16,6;16;Rohdaten
2018-06-12;21,8;50,9;16;Rohdaten
2018-06-13;42,7;58,1;31,9;Rohdaten
2018-06-14;27,9;43,3;19,8;Rohdaten
2018-06-15;19,1;20,5;17,2;Rohdaten
2018-06-16;19,1;19,8;18,5;Rohdaten
2018-06-17;18,2;18,5;17,8;Rohdaten
2018-06-18;18,9;19,4;18,1;Rohdaten
2018-06-19;18;18,7;17,5;Rohdaten
2018-06-20;17,5;18,1;16,8;Rohdaten
2018-06-21;17,3;18,1;16,8;Rohdaten
